Year,Stock/Flow ID,Layer 1,Layer 2,Layer 3,Layer 4,mean,sd,p2_5,p25,p50,p75,p97_5,deterministic
2040,ELV_shredded,BEV,elvTrim,calAl_6xxx,,6817907.691474456,599258.2660096124,5652067.487757854,6395490.395828886,6818038.540436203,7241602.871171547,7961490.887431843,7079690.161096
2040,ELV_shredded,BEV,elvTrim,calAl_7xxx,,1704846.376673297,149847.0395507903,1413323.1503363221,1599219.1625022963,1704879.0960042733,1810793.1311041,1990804.1449913343,1770306.1797399996
2040,ELV_shredded,BEV,elvTrim,calHSS,,22049520.979057796,1938037.0498086333,18279124.078228097,20683398.19715202,22049944.152420893,23419776.514365036,25747937.386497773,22896141.132493973
2040,ELV_shredded,BEV,elvTrim,calMagnesium,,1929846.2422922356,169623.34562953128,1599848.7653435369,1810278.7052162746,1929883.2798099848,2049775.491472043,2253543.7508734395,2003945.2090366597
2040,ELV_shredded,BEV,elvTrim,calalloySteel,,6611777.258849372,581140.4839543959,5481184.693622262,6202131.19212622,6611904.151765611,7022662.574487827,7720785.727545455,6865645.0813154215
2040,ELV_shredded,BEV,elvTrim,calcastAluminiumAlSiCu,,4261319.808106936,374547.62291836226,3532647.878535741,3997301.098749469,4261401.591155019,4526137.2188941715,4976080.691602788,4424938.747185324
2040,ELV_shredded,BEV,elvTrim,calcastAluminiumAlSiMg,,4261433.304713045,374557.5986737483,3532741.9675886277,3997407.56344321,4261515.08993935,4526257.768685377,4976213.225253312,4425056.601641846
2040,ELV_shredded,BEV,elvTrim,calmildSteel,,8820321.780523563,775259.9441105487,7312075.232347176,8273840.85971093,8820491.059721738,9368455.898921533,10299774.455389902,9158989.554135323
2040,ELV_shredded,BEV,elvTrim,calstainlessSteel,,6616451.604885349,581551.3344127778,5485059.741577152,6206515.929575402,6616578.5875114165,7027627.405225753,7726244.112295467,6870498.9049718855
2040,ELV_shredded,BEV,elvWheels,calAl_6xxx,,12014872.43427172,2445565.4679892864,7258144.078040457,10293170.175532766,12038011.527818065,13748253.125006814,16632653.723406892,13072673.29823494
2040,ELV_shredded,BEV,elvWheels,calAl_7xxx,,3001811.5865029134,611003.3042399624,1813384.295934891,2571659.2218345404,3007592.688174078,3434881.7060346836,4155524.158441888,3266093.9504671097
2040,ELV_shredded,BEV,elvWheels,calMagnesium,,3399455.773926306,691941.7327275932,2053599.8138193511,2912321.9556963937,3406002.6869784305,3889893.856375157,4705998.423626186,3698747.112584782
2040,ELV_shredded,BEV,elvWheels,calcastAluminiumAlSiCu,,6008307.259462841,1222960.0301788244,3629598.2327640145,5147331.311827499,6019878.483751109,6875123.269747652,8317532.679366709,6537284.378844259
2040,ELV_shredded,BEV,elvWheels,calcastAluminiumAlSiMg,,9006271.864541976,1833180.301142532,5440658.580143306,7715694.815403382,9023616.781711716,10305602.991935179,12467731.312277457,9799192.655962562
2040,ELV_shredded,BEV,elvWheels,calmildSteel,,77707298.75214012,15816920.860257141,46942718.14734868,66572030.14950081,77856952.97983967,88918098.69387978,107573226.34895028,84548723.67828369
2040,ELV_shredded,Diesel,elvBIW,calAHSS,,66430678.313660555,5814750.081245179,55135446.77746205,62339849.00365494,66466856.98770741,70527530.5322465,77493978.1226178,68935228.48294678
2040,ELV_shredded,Diesel,elvBIW,calAl_5xxx,,36282026.11002286,3175805.510744151,30112980.483541053,34047763.57342087,36301785.58907253,38519578.140754946,42324399.04254575,37649920.53685456
2040,ELV_shredded,Diesel,elvBIW,calAl_6xxx,,54418987.09210806,4763353.583731896,45166107.627766386,51067842.8155723,54448624.10389153,57775065.24245953,63481871.66265387,56470675.96227722
2040,ELV_shredded,Diesel,elvBIW,calHSS,,66424446.919934615,5814204.640522701,55130274.909797184,62334001.34179422,66460622.20031504,70520914.84168875,77486708.95871148,68928762.15502167
2040,ELV_shredded,Diesel,elvBIW,calMagnesium,,3120973.767449624,273182.25447217736,2590313.502996233,2928782.8808330693,3122673.4745052736,3313447.615796514,3640737.66813052,3238639.815366471
2040,ELV_shredded,Diesel,elvBIW,calUHSS,,36877582.30587305,3227935.1973003373,30607274.050501868,34606645.16645824,36897666.129548326,39151862.93526163,43019138.58131866,38267930.21969299
2040,ELV_shredded,Diesel,elvBIW,calmildSteel,,125413003.00369379,10977537.606370807,104088986.11065263,117690017.15488255,125481303.91935633,133147359.36792126,146299161.13714465,130141287.6739258
2040,ELV_shredded,Diesel,elvBrakes,calMagnesium,,299769.72089389514,26466.736160944114,248220.31736330423,281183.54901221755,299927.18670873716,318536.068178515,350449.8723710869,311151.61615922296
2040,ELV_shredded,Diesel,elvBrakes,calcastAluminiumAlSiCu,,8713774.205675313,769341.0868180369,7215324.457437385,8173507.1478755195,8718351.45767913,9259278.642934158,10186956.33816288,9044625.71755905
2040,ELV_shredded,Diesel,elvBrakes,calcastIron,,19864457.616669916,1753837.4361256785,16448499.06507061,18632831.478783865,19874892.202910565,21108023.208095968,23222814.55153001,20618687.147995755
2040,ELV_shredded,Diesel,elvBrakes,calmildSteel,,5672795.978166157,500852.4343328572,4697283.013904142,5321074.127188403,5675775.836967342,6027927.440688826,6631859.350595378,5888185.209248352
2040,ELV_shredded,Diesel,elvBrakes,calstainlessSteel,,2836222.3581921724,250410.7106755213,2348496.078136414,2660372.322081703,2837712.195335744,3013777.0945128473,3315724.3516141656,2943910.305239868
2040,ELV_shredded,Diesel,elvCatalyticConverters,calculateCe,,387.3765699110423,195.63007751970846,95.91044481146639,229.32695756188883,357.78455050447303,524.2774778057976,806.4787558520404,105.65194258391855
2040,ELV_shredded,Diesel,elvCatalyticConverters,calculateLa,,59.84589638181159,30.22293617577027,14.817226925827194,35.428775010725516,55.27421842116263,80.99574948296043,124.5930905628522,16.322193182376214
2040,ELV_shredded,Diesel,elvCatalyticConverters,calculatePd,,161.80779212897838,81.71498582052622,40.06194107355388,95.79022470890902,149.44715987413025,218.99151300293292,336.86742312089495,44.13097975328565
2040,ELV_shredded,Diesel,elvCatalyticConverters,calculatePt,,436.8981589676593,220.639107643213,108.17147968841181,258.6437418851948,403.52314405172274,591.3002557025106,909.5776849880176,119.15831465199588
2040,ELV_shredded,Diesel,elvChassis,calAHSS,,44243504.25196855,3875496.446479807,36703979.04138763,41511189.84664281,44271656.20472771,46962834.757799156,51640882.61882521,45922600.283361815
2040,ELV_shredded,Diesel,elvChassis,calAl_6xxx,,18130066.153517134,1588097.6911830676,15040525.821099626,17010420.64264964,18141602.237163845,19244391.13291323,21161357.671248592,18818124.720349878
